0,1,2,3,4
S/No,Name,Status,Designation,Dates of Attendance
1,"Mrs. S. O. J. Mbagwu-
Fagbemi","Shareholders’
Representative",Chairman,"27-Jan-2025
28-Apr-2025"
2,Alhaji M. A. Usman,"Shareholders’
Representative",Member,"27-Jan-2025
28-Apr-2025"
3,Mrs. A. Kuye,"Shareholders’
Representative",Member,"27-Jan-2025
28-Apr-2025"
4,Mrs. C. N. Echeozo,"Non-Executive
Director",Member,"27-Jan-2025
28-Apr-2025"
5,Mrs. H. L. Bouygues,"Non-Executive
(Independent)
Director",Member,27-Jan-2025
