0,1,2,3,4,5
Title,Name of the Director,"Category (Chairperson/
Executive/Non
-Executive/ Independent
Director)","No. of Directorship in
listed entities
including the Company","Number of
memberships in
Audit/other
Committee(s) in the","No. of post of
Chairperson in
Audit/other
Committee in the"
Mr.,Sulaiman A. Adedokun,Chairman,1,-,-
Mr.,Eric Chidi Emecheta,"Managing
Director",1,-,-
Mr.,Kayode O Ajakaiye,"Non- Executive
Director",1,2,-
Mr.,Adebayo O. Adeleke,Non- Executive Director,4,2,1
Ms.,Daniella F. Suleman,"Non- Executive
Director",1,2,1
Mr.,Oluwasegun Isaiah Adeoye,"Independent Non- Executive
Director",1,2,-
Mr.,Adegoke Johnson Olasoko,"Independent Non- Executive
Director",1,2,-
