0,1,2,3,4,5,6,7,8,9
,,Successful,,,,Unsuccessful,,,
S/N,Category,Frequency,"Amount involved
₦","Actual Loss
₦",% Loss,Frequency,"Amount involved
₦","Actual loss
₦'000",% Loss
1,Electronic Fraud/USSD,"6,597","9 86,889","9 2,203",9%,1 74,"1,699,090",-,-
2,"Cash Theft/
Suppression/Pilferage/Dry
posting",13,"34,024","9,783",29%,-,-,-,-
3,"Fraudulent
Transfer/Withdrawals/Rea
ctivation of account",16,"7 ,549,302","6 ,009,546",80%,-,-,-,-
4,"Fraudulent cash
Lodgement",2,"1 1,759","11,759",0%,-,-,-,-
5,Armed Robbery,2,"22,007","21,508",0%,-,-,-,-
6,Cyber Attack,-,-,-,0%,-,-,-,-
7,Clearing,1,"4,000","4,000",0%,-,-,-,-
8,"Presentation of Forged
Instrument",3,-,-,0%,-,-,-,-
9,"Fraudulent manipulation
of ""Form M""",-,-,-,0%,-,-,-,-
1 0,"Fraudulent diversion of
funds",-,-,-,0%,-,-,-,-
1 1,"Electronic
Fraud/Cybersecurity",-,-,-,0%,"1 ,136",-,-,-
1 2,"Electronic
Fraud/wallet/Suspicious
wallet",-,-,-,0%,"5,095",-,-,-
,TOTAL,"6 ,634","8 ,607,981","6,148,799",118%,"6 ,405","1 ,699,089",-,-
,,,,,,,,,
,,,,,,,,,
,,Successful,,,,Unsuccessful,,,
S/N,Category,Frequency,"Amount involved
₦'000","Actual Loss
₦'000",% Loss,Frequency,"Amount involved
₦'000","Actual Loss
₦'000",% Loss
1,Electronic Fraud/USSD,"1 1,403","10,545,959","1,154,256",80%,"1 ,471","3,406,880",-,-
2,"Cash Theft/
Suppression/Pilferage/Dry
posting",2 5,"192,759","168,552",12%,-,-,-,-
3,"Fraudulent
Transfer/Withdrawals/Rea
ctivation of account",7,"86,157","6 0,057",4%,-,-,-,-
4,"Fraudulent cash
Lodgement",-,-,-,0%,1,6 25,-,-
5,Armed Robbery,3,"3 7,344","37,344",3%,-,-,-,-
6,Cyber Attack,-,-,-,0%,-,-,-,-
7,Clearing,-,-,-,0%,-,-,-,-
8,"Presentation of Forged
Instrument",-,-,-,0%,-,-,-,-
9,"Fraudulent manipulation
of ""Form M""",-,-,-,0%,-,-,-,-
1 0,"Fraudulent diversion of
funds",2,"50,264","20,303",1%,-,-,-,-
1 1,"Electronic
Fraud/Cybersecurity",-,-,-,0%,"1 ,152",-,-,-
1 2,"Electronic
Fraud/wallet/Suspicious
wallet",-,-,-,0%,"3 ,016",-,-,-
,TOTAL,"1 1,440","1 0,912,483","1 ,440,512",100%,"5,640","3 ,407,505",-,-
,,,,,,,,,
,RTS TO PENCOM ON,FRAUD AND FORGERIES,,,,,,,
This report represents the fraud and forgery incidents that occurred during the year. It is a summation of attempted and successful fraud incidents. We have nil report on this.,,,,,,,,,
