0,1,2,3,4,5
Food,,Beverage,,Total,
Jan - Jun 2025,Jan - Jun 2024,Jan - Jun 2025,Jan - Jun 2024,Jan - Jun 2025,Jan - Jun 2024
"380,788,998","260,653,218","200,330,055","146,318,954","581,119,053","406,972,172"
"(227,309,794)
(12,030,120)
89,842,811
(26,240,101)","(182,184,410)
(8,180,262)
36,955,612
(196,952,935)","(128,857,108)
(6,128,751)
40,599,797
(15,807,924)","(97,483,294)
(4,460,638)
26,121,635
( 118,651,108)","( 356,166,901)
( 18,158,872)
130,442,608
( 42,048,025)","( 279,667,704)
( 12,640,900)
63,077,247
( 315,604,044)"
