0,1
"Financial
assets at
FVTPL","These assets are subsequently measured at fair value. Net gains and losses, including
any interest or dividend income, are recognised in profit or loss."
"Financial
assets at
amortised cost","These assets are subsequently measured at amortised cost using the effective interest
method. The amortised cost is reduced by impairment losses. Interest income, foreign
exchange gainsand lossesandimpairmentarerecognised inprofitorloss. Anygainor
loss on derecognition is recognised in profit or loss."
"Debt
investments at
FVOCI","These assets are subsequently measured at fair value. Interest income calculated using
the effective interest method, foreign exchange gains and losses and impairment are
recognised in profit or loss. Other net gains and losses are recognised in OCI. On
derecognition, gains and losses accumulated in OCI are reclassified to profit or loss."
"Equity
investments at
FVOCI","These assets are subsequently measured at fair value. Dividends are recognised as
income in profit or loss unlessthe dividend clearlyrepresentsa recoveryof partof the
cost of the investment. Other net gains and losses are recognised inOCI and are never
reclassified to profit or loss."
