0,1,2,3,4,5,6,7,8
,"Balance as at
1 July 2023","Recognized in
income
statement","Recognized in
other
comprehensive
income","Balance as at
30 June 2024","Balance as at
1 July 2022","Recognized in
income
statement","Recognized in
other
comprehensive
income","Balance as at
30 June 2023"
"N’000 N’000 N’000
Property, plant and equipment (13,722,691) 2,350,365 —
Right-of-use assets (20,889) 22,263 —
Employee benefits 381,206 68,894 —
Unrealized exchange losses 10,791,877 (3,514,657) —
Inventories 531,166 (188,828) —
Trade and other receivables 1,560,188 612,764 —
Unrelieved losses — 21,769,166 —
(479,144) 21,119,968 —","N’000
(13,722,691)
(20,889)
381,206
10,791,877
531,166
1,560,188
—","N’000
2,350,365
22,263
68,894
(3,514,657)
(188,828)
612,764
21,769,166","N’000
—
—
—
—
—
—
—","N’000
(11,372,326)
1,374
450,100
7,277,220
342,338
2,172,952
21,769,166","N’000
(12,666,219)
(62,195)
496,657
(172,351)
396,320
1,564,716
—","N’000
(1,056,472)
41,305
(115,451)
10,964,228
134,846
(4,528)
—","N’000
—
—
—
—
—
—
—","N’000
(13,722,691)
(20,889)
381,206
10,791,877
531,166
1,560,188
—"
,"(479,144)","21,119,968",—,"20,640,824","(10,443,073)","9,963,929",—,"(479,144)"
,,,,,,,,
