0,1,2,3,4
"United Bank for Africa Plc
Consolidated and Separate Statements of Financial Position
As at 31 December
Group Bank
Notes
2023 2022 2023 2022
In millions of Nigerian Naira
ASSETS
Cash and bank balances 22 6,069,496 2,553,629 5,036,380 2,154,971
Financial assets at fair value through profit or loss 23 33,849 14,963 534 14,963
Assets under management 24 14,026 12,923 14,026 12,923
Derivative assets 34(a) 498,824 39,830 498,824 39,830
Loans and advances to banks 25 320,732 303,249 147,547 231,753
Loans and advances to customers 26 5,228,849 3,136,879 3,320,373 2,123,097
Investment securities:
- At fair value through other comprehensive income 27 3,093,037 2,177,746 2,710,346 2,056,181
- At amortised cost 27 4,314,957 1,987,438 174,707 115,376
Other assets 28 758,683 270,211 607,251 172,042
Investment in subsidiaries 30 - - 184,290 145,993
Property and equipment 31 267,148 208,039 172,733 163,841
Intangible assets 32 43,855 33,468 10,763 12,618
Deferred tax assets 33 9,741 23,603 - 21,862
20,653,197 10,761,978 12,877,773 7,265,451
Non-Current Assets Held for Sale 35 - 95,593 - 95,593",,,,
,"6,069,496
33,849
14,026
498,824
320,732
5,228,849
3,093,037
4,314,957
758,683
-
267,148
43,855
9,741",,"5,036,380
534
14,026
498,824
147,547
3,320,373
2,710,346
174,707
607,251
184,290
172,733
10,763
-",
,"20,653,197
-","10,761,978
95,593","12,877,773
-","7,265,451
95,593"
TOTAL ASSETS,"20,653,197","10,857,571","12,877,773","7,361,044"
"LIABILITIES
Deposits from banks 36
Deposits from customers 37
Derivative liabilities 34(b)
Other liabilities 38
Current income tax payable 21
Borrowings 39
Deferred tax liability 33","2,464,444
14,891,277
1,885
313,181
42,671
858,739
50,805","1,170,238
7,824,891
79
383,283
20,281
535,736
959","1,598,524
8,760,630
1,885
358,654
17,781
856,329
49,087","863,795
5,046,516
79
326,689
8,327
530,446
-"
TOTAL LIABILITIES,"18,623,002","9,935,467","11,642,890","6,775,852"
"EQUITY
Share capital 41
Share premium 41
Retained earnings 41
Other reserves 41","17,100
98,715
919,872
926,475","17,100
98,715
429,533
341,949","17,100
98,715
532,088
586,980","17,100
98,715
191,417
277,960"
"EQUITY ATTRIBUTABLE TO OWNERS OF THE PARENT
Non-controlling interests 30","1,962,162
68,033","887,297
34,807","1,234,883
-","585,192
-"
TOTAL EQUITY,"2,030,195","922,104","1,234,883","585,192"
TOTAL LIABILITIES AND EQUITY,"20,653,197","10,857,571","12,877,773","7,361,044"
"The accompanying notes are an integral part of these consolidated and separate financial statements.
Theconsolidatedandseparatefinancialstatementswereapproved bytheBoardofDirectorsandauthorizedforissueon25
January 2024 and signed on its behalf by :
Ugo A. Nwaghodoh Oliver Alawuba
ED Finance and Risk Management Group Managing Director/CEO
FRC/2012/ICAN/00000000272 FRC/2022/PRO/DIR/003/589226
Tony O. Elumelu, CFR
Chairman, Board of Directors
FRC/2013/PRO/DIR/003/00000002590",,,,
