0,1,2,3,4,5,6,7
Company,,"Share
capital N'000","Share
Premium
N'000","Revaluation
Reserve N'000","Fairvalue
Reserve N'000","Retained
Earnings N'000",Total N'000
At 1 January 2024,,"2,348,030","35,008","1,463,364",,-84787,"3,761,615"
Changes in equity for the year:,,,,,,,-
Statement of Profit or Loss,,,,,,"229,716","229,716"
"Balance as at 31 December,
2024",,"2,348,030","35,008","1 ,463,364",-,"144,929","3,991,331"
