0,1,2,3,4,5
,GROUP,,,,
,2025,2024,,2025,2024
,N'M,N'M,,N'M,N'M
Revenue,0.20,1.00,,-,-
Other Income,,-,,,-
Total Comprehensive Income,(12),( 11.63),,(10),-
Total Non Current Assets,"2 ,402","2,839",,(306),130.04
Total Non Current Liabilities,4 32,432.40,,449,449.00
Total Equity,"( 3,059)","-2,636",,260,718.98
Earnings/(Loss) Per Share (NGN),0.004,-0.004,,(0.038),0.0000
