0,1,2
Length of service,Cash award,Gift item
"5
10
15
20
25
30
35","85% of 1-month's gross salary
85% of 2-month's gross salary
2-month's gross salary
2-month's gross salary
2-month's gross salary
2-month's gross salary
2-month's gross salary","-
A plaque
A plaque
A plaque, additional 5GB data per month
A plaque, additional 5GB data per month and 3 extra leave
days
A plaque, additional 5GB data per month and 5 extra leave
days
A plaque, additional 5GB data per month and 10 extra leave
days"
