0,1,2,3
Product lines,Nigeria,Other Countries,Total
Refreshment Beverages,"77,967,542",-,"77,967,542"
Confectionery,"36,231,079","646,302","36,877,381"
Intermediate cocoa products,-,"4,400,182","4,400,182"
Total,"114,198,622","5,046,483","119,245,105"
