0,1,2,3,4
S/N,NAME OF DIRECTOR,TRAINING,FACILITATOR,DATE
1.,Mrs. Fatimah Bello-Ismail,"Finance for the Non-Finance
Executive","Stanford Graduate School of
Business","January 28 – February 2,
2024"
,,"Women on Boards: Succeeding as a
Corporate Director",Harvard Business School,"December 2 – 4, 2024"
2.,Mr. Aigboje Aig-Imoukhuede,Senior Leadership Team Program,Harvard Business School,"Aprill 22, 2024"
,Ms. Bolaji Agbede,,,
,Mr. Lanre Bamisebi,,,
,Mr. Roosevelt Ogbonna,,,
3.,Abubakar Jimoh,Financial Strategies for Value,London Business School,"June 24 – 28, 2024"
4.,Segun Ogbonnewo,"Strengthening Financial System
Stability Through the Banking
Recapitalization: Imperatives for
Regulation, Risk & Compliance and
Technology",FITC,"November 27 - 28, 2024"
5.,Ojinika Olaghere,"Women on Boards: Succeeding as a
Corporate Director",Harvard Business School,"December 2-4, 2024"
