0,1,2
SHAREHOLDER,PERCENTAGE OF SHAREHOLDING,NO OF SHARES HELD
Stanbic Nominees Nigeria Limited,19.78,"5,821,487,251"
Zenith PFC,8.32,"2,448,674,111"
