0,1,2,3,4,5
,Director,"Direct
shareholding
of ordinary
shares of 50
kobo each","Indirect
shareholding",Total,Percentage
1,"Dr. Timothy Farinre- Company
Chairman",Nil,"100,357,894","100,357,894",3.411%
2,"Late Engr. (Mrs.) Florence Seriki,
MFR (Estate reperesented by Mr.
Temidayo Seriki)","1,552,315,285","165,717,635","1,718,032,899",58.40%
3,Alh. Nakande Dasuki,Nil,Nil,,
4,"Mr. Yemi Ogundipe, FCA
GMD/CEO","25,000",Nil,"25,000",0.001%
