0,1,2,3,4,5,6,7
"Type of financial
instrument","Fair value
as at
31
December
2024
N'million","Fair value as
at
31 December
2023 N'million","Valuation
technique","Unobservable
input","Range of
estimates for
unobservable
inputs (31
December
2024)","Range of
estimates for
unobservable
inputs (31
December
2023)","Relationship of
unobservable inputs to fair
value"
"Unquoted equity
securities","499,506","133,013","Income
Approach
(Discounted
cash flow
method)",Cost of equity,22.7% - 35.3%,24.0% - 30.0%,"Significant increases in
cost of equity, in isolation,
would result in lower fair
values. Significant
reduction would result in
higher fair values"
,,,,"Terminal
growth rate",3.1% - 3.3%,3.2% - 5.2%,"Significant increases in
terminal growth rate, in
isolation, would result in
higher fair values.
Significant reduction
would result in lower fair
values"
