0,1,2,3
Training Programme,Training Objective,Participants,Date
"Talent Review Masterclass -
SUPERVISORS","The Talent Review Masterclassisdesignedtobuild a strategic agreement amongEXCOs,
humanresourceprofessionals,andlinemanagerstoinvestinandmanagetheorganisation's
most precious asset—its people.","• Oliver Alawuba
• Muyiwa Akinyemi
• Ugo Nwaghodoh
• Alex Alozie
• Ibrahim Puri
• Emem Usoro","March 7th
2023"
"Interactive Session on Market
Risk","Thetrainingisaimedatintimatingthenewpolicy,itsoperationalframework,implicationsto
ourindustryandourbusinessandwaystoensurethatwederivemaximumvalueofthenew
development.",• Ugo Nwaghodoh,"June 23rd
2023"
"Control and Audit Skill
Enhancement Programme
(CASEP) - English","The Programme is designed to bridge the skill gaps and technical competencies that is
required to discharge individual's duties and responsibilities effectively",• Bawuah Abiola,"June 13th
2023"
