0,1,2,3,4,5,6,7,8,9
Group,Share capital,Share premium,"Revaluation
reserves","Capital
reserves","Fair
value
reserves","Retained
earnings",Total,"Non-
controlling
interests",Group
Balance at 1 January 2024,"2,348,030","3 5,008","4 ,755,307",,"(1,060)","903,870","8,041,155","4,991,657","9,741,930"
Statement of profit or loss,,,,,,"749,470","749,470","306,169","1,055,639"
Other comprehensive income,,,,,,,-,,-
Other movement in reserve,,,,,,,,,
Balance at 30 June 2024,"2,348,030","3 5,008","4 ,755,307",-,"(1,060)","1,653,340","8,790,625","5,297,826","10,797,569"
