0,1,2,3,4
UBA Uganda Limited,,UBA Kenya Bank Limited,,UBA Senegal (SA)
Dec. 2023,Dec. 2022,Dec. 2023,Dec. 2022,Dec. 2023
"42,666
107,605
6,680","23,962
44,292
2,987","33,185
152,413
4,460","9,175
49,433
2,272","122,922
604,710
13,700"
"156,950","71,242","190,059","60,879","741,332"
"117,195
3,843","52,348
9,722","161,925
14,752","46,757
5,082","663,958
8,737"
"121,038","62,069","176,677","51,839","672,695"
,,,,
"35,912","9,173","13,382","9,040","68,637"
Dec. 2023,Dec. 2022,Dec. 2023,Dec. 2022,Dec. 2023
"17,384","6,445","14,554","6,687","48,640"
"3,108",(840),"(1,318)","(1,677)","7,713"
"3,108",(840),"(1,318)","(1,677)","7,713"
612,,(79),,"1,042"
