0,1,2,3
S/N,Names,Designation,Date of Appointment/Resignation
1.,Mr. Sulaiman Adedokun,Chairman,Appointed with effect from 11/07/2018
2.,Mr. Eric C. Emecheta,"Managing
Director/CEO",Appointment with effect from 02/05/2022
3.,Mr. Kayode O. Ajakaiye,"Non-Executive
Director",Appointed with effect from 28/03/1984
4.,Mr. Adebayo A. Adeleke,"Non-Executive
Director",Appointed with effect from 11/07/2018
5.,Ms. Daniella F. Suleman,"Non-Executive
Director",Appointed with effect from 11/07/2018
6.,"Mr. Isaiah
Oluwasegun Adeoye","Non-Executive
Director",Appointed with effect from 27/07/2021
7.,Mr. Johnson A. Olasoko,"Non-Executive
Director",Appointed with effect from 27/7/2021
