0,1,2,3,4
Key Assumption,Effect on other comprehensive income (OCI),,,
,Dec. 2024,,Dec. 2023,
,5% Increase,5% Decrease,5% Increase,5% Decrease
Cost of Equity,"(107,065)","96,869","(15,834)","17,663"
Terminal Growth Rate,"15,786","(14,996)",166,(166)
