0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
In thousands of Nigerian Naira,,,Asset under Management,,,,,,,,,Interest Held by the Group,,,,,
,Investment funds,,,Mar-25,,,Dec-24,,,,,,Mar-25,,,Dec-24,
,,,"77,563,682",,,"47,886,680",,,,,,,,,,,
,Guaranty Trust Investment Fund 724,,,"352,714",,,"161,273",,,,,,"154,185",,,"150,000",
,,,"12,139,390",,,"11,846,892",,,,,,,,,,,
,Guaranty Trust Balanced Fund,,,"3,391,259",,,"3,106,074",,,,,,-,,,,-
,Guaranty Trust Dollar Fund,,,"96,751,778",,,"77,300,768",,,,,,"215,537",,,"134,609",
,Guaranty Trust Equity Income Fund,,,"764,722",,,"618,453",,,,,,"63,601",,,"53,524",
,,,"190,963,545",,,"140,920,142",,,,,,,,,,,
