0,1,2,3,4
"Paints and
allied
products","Contract
revenue","Investment
property
rental
income",Unallocated,Total
"7,603,703
-
-
(214,869)
44,566
677,244","363,843
-
-
(1,694)
-
73,990","33,315
-
-
(20,360)
-
12,955","-
40,546
(28,419)
-
-
12,127","8,000,861
40,546
(28,419)
(236,923)
-
776,316"
