0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,,,,,,,,,,
,Decrease,,,"(19,565,929)",,,"(17,236,713)",,,"(1,507,611)",,,"(1,167,511)",
,Increase,,,"21,977,762",,,"19,361,430",,,"2,617,714",,,"2,027,187",
