0,1,2,3
,"Liability as at
31 December 2022
N million","Change
N million","Liability as at
31 December 2023
N million"
"13 December 2021
13 December 2022
Total","1,124
-
1,124","1,193
1,279
2,472","2,317
1,279
3,596"
