0,1,2
,,"percentage of women in management
increased from 42.86% to 44%."
Principle 5,"Financial Inclusion: Promotion
of financial inclusion and
provision of financial services to
individuals and communities that
have limited or no access to the
formal financial sector.","• From our partnership with CBN SANEF
initiative, we opened 248,874 accounts
in the reporting period, with deposits
totalling N 1.2 billion."
Principle 6,"E&S Governance:
Implementation of transparent
E&S governance practices within
the institution and assessing the
E&S governance of our clients.","• Our internal audit team (SYSCON)
conducts monthly visit to track and
monitor our progress on E&S using our
annual plan.
• We provide biannual reports to CBN to
give update on our Sustainability
journey.
• We provide quarterly reports on our
E&S journey to the Bank’s Management
and Board."
Principle 7,"Capacity Building: Development
of capacity to identify, assess,
and manage E&S risks and
opportunities associated with
the Bank’s business activities and
operations.","• Over 1071 employees were trained on
various sustainable banking subject
matters within the reporting period.
• We conducted five (5) trainings on
Environmental and Social Risk
Management for different groups
within the bank and published the E&S
Action Plan procedure on the intranet."
Principle 8,"Collaborative Partnerships:
Collaboration across the sector
and leveraging international
partnerships to develop the
financial services sector and
ensure consistency with
international standards.","• The Bank remains a member of the
network of Sustainability Champions in
Nigeria."
Principle 9,"Reporting: Regular review and
implementation progress report.","• The Bank rendered the Bi-Annual
Sustainability Report to the regulator
(CBN) with its sustainability report in the
financials.
• We also provide periodic updates to our
investors on the integration of ESRM in
the Bank’s framework.
• Report on our sustainability journey and
Social Key Performance Indicators (KPI)
also shared with the Board of Directors
on a quarterly basis."
