0,1,2,3,4
Name of Committee,"Date(s) of meeting of the
committee in the relevant
quarter","Whether requirement of Quorum
met (details)","Date(s) of meeting of the
committee in the previous
quarter","Maximum gap
between any two
consecutive meeting
in number of days"
Audit Committee,6th March 2025,There was Quorum at the meeting.,"21st November, 2024",90 days
"Business Development, Finance & General
Purpose
Committee",11th March 2025,"There was Quorum at the meeting.
There was Quorum at the meeting.",26th November 2024,90 days
"Risk Management & Governance
Committee",,,,
