0,1,2,3,4,5,6,7
NAIRA,,,,,,,
S/N,DESCRIPTION,NUMBER,,"AMOUNT CLAIMED
(NAIRA)",,"AMOUNT
REFUNDED
(NAIRA)",
,,2023,2022,2023,2022,2023,2022
1,Pending complaints B/F,"6,118","306,116","14,868,818","2 49,742,931,153",-,-
2,Received Complaints,"5,120,653","2,824,979","301,508,453,504","78,790,781,564",-,-
3,Resolved complaints,"5,092,619","3,124,977","273,043,461,247","3 28,518,843,900","2,068,124,494","1 5,465,642,868"
4,"Unresolved Complaints
escalated to CBN for
intervention",-,-,-,-,-,-
5,"Unresolved complaints
pending with the bank C/F","34,152","6,118","28,479,861,075","14,868,818",-,-
