0,1,2,3
,"Main result
(N million)","7.5% forfeiture
(N million)","7.5% forfeiture
(N million)"
"31 December 2023
Changes (%)","3,596","3,473
-3.41%","3,352
-6.78%"
"31 December 2022
Changes (%)","1,124","1,067
-5.07%","1,012
-10.01%"
