0,1,2,3,4,5,6
,,Feb 23,April 26,July 26 Oct,24 Dec 14,%
1,Mr. Uzoma Nwankwo (Chairman),,,,,100
2,Ms. Bennedikter Molokwu,,,,,100
3,Mr. Olakunle Alake,,,,,100
4,Alhaji Abdu Dantata,,,,,100
5,Ms. Maryam Bashir,,,,,100
6,Mr. Ravindra Singhvi,,,,,100
7,"prof. Konyinsola Ajayi, SAN",,,,,100
8,Mrs. Yabawa Lawan Wabi (mni),,,,,100
