0,1,2,3,4,5,6
Grant date,"Performance
condition",Vesting date,"Gross option
price","Gross option price
as % of share price","Net option
price","Net option price as
% of share price"
"13 December 2021
13 December 2022","CGO
ESG
ROE
TSR
CGO
ESG
ROE
TSR","13 December 2024
13 December 2024
13 December 2024
13 December 2024
13 December 2025
13 December 2025
13 December 2025
13 December 2025","248.75
248.75
248.75
34.86
233.65
233.65
233.65
32.34","94.22%
94.22%
94.22%
13.20%
88.50%
88.50%
88.50%
12.25%","236.92
236.92
236.92
33.20
211.41
211.41
211.41
29.26","89.74%
89.74%
89.74%
12.58%
80.08%
80.08%
80.08%
11.08%"
