0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,Group,,,,,,,,,,,,,
,,,,Jun-25,,,Jun-25,,,,,,,
,In thousands of Nigerian Naira,,,Pre-tax,,,Post-tax,,,,,,,
,,,,,,,,,,,,,17,4
,Decrease,,,"(12,198,332)",,,"(9,362,086)",,,"(85,470,417)",,,"(75,828,317)",
,Asset,,,"(29,868,938)",,,"(22,924,081)",,,"(108,913,681)",,,"(96,626,896)",
