0,1,2,3,4,5
Related party,"Nature of
transaction",Transaction values,,"Balance
Receivable/(Payable)",
,,"3 Mths to
31 Mar
2025","3 Mths to
31 Mar
2024","3 Mths to
31 Mar
2025",31-Dec-24
Emychem Limited,,N ' 0 0 0-,N'0000,N ' 0 0 0-,N ' 0 0 0-
Swift Painting Nigeria Limited,"SSuuppppllyy of aranwd apply
Projects","18,010","6,572","57,154","56,054"
,,"18,010","6,572","57,154","56,054"
