0,1,2,3
Grant date,"Liability as at 31
December 2023
N million","Change
N million","Liability as at 31
December 2024
N million"
"13 December 2022
13 December 2023
Total","1,279
-
1,279","653
1,041
1,694","1,932
1,041
2,973"
