0,1,2,3,4,5,6,7,8
In thousands of Nigerian Naira,,,Funds under Management,,,,,
,,,,Mar-25,,,Dec-24,
,,,,,,,,
Fund I,,,,"1,225,976",,,"711,088",
,,,"54,050,626",,,,,
Fund III,,,,"12,183,872",,,"11,102,196",
,,,"2,242,770",,,,,
Fund V,,,,"17,691",,,"13,875",
,,,"302,506",,,,,
TCF1 And Reconiliation,,,,"503,926",,,"492,293",
,,,,,,,,
,Approved Existing Schemes,,,"40,676,171",,,"39,116,540",
,,,"111,203,538",,,,,
