0,1,2,3,4
NAME DESIGNATION,,,,
,Chairman,,,
,Independent Non-Executive Director,,,
,Independent Non-Executive Director,,,
,Non-Executive Director,,,
,Non-Executive Director,,,
,Non-Executive Director,,,
,Independent Non-Executive Director,,,
,Non-Executive Director,,,
,Non-Executive Director,,,
,Independent Non-Executive Director,,,
,Group Managin,g Director/CEO,,
,,ng Director,,
,,ng Director/Group Chief Operating Officer,,
,"Executive Director, Finance and Risk Management",,,
,"Executive Director, North Bank",,,
,,,,
,"Executive Director/CEO, UBA Africa",,,
