0,1,2,3
Name of Entity,Paid-Up Capital,Holdco Interest,Equity/Equity Reserves
,N,(%),N
Guaranty Trust Bank Limited,"17,069,475,000",100%,"17,069,475,000"
Guaranty Trust Pension Managers Limited,"5,625,000,000",100%,"5,625,000,000"
Guaranty Trust Fund Managers Limited,"250,000,000",100%,"250,000,000"
Habari Pay,"3,000,000,000",100%,"3,000,000,000"
Total minimum paid up Capital of all Subsidiaries,"25,944,475,000",,"25,944,475,000"
"Guaranty Trust Holding Company (Share Capital
and Reserves)",,,"346,298,636,000"
Surplus /(Deficit),,,"320,354,161,000"
