0,1,2,3,4
"United Bank for Africa Plc
Consolidated and Separate Statements of Financial Position
As at 30 June 2025
Group Bank
Notes
30 Jun. 2025 31 Dec. 2024 30 Jun. 2025 31 Dec. 2024
In millions of Nigerian Naira
ASSETS
Cash and bank balances 22 8,751,723 8,163,668 6,924,625 6,732,741
Financial assets at fair value through profit or loss 23 687,631 100,687 2,545 18,018
Assets under management 24 15,796 15,175 15,796 15,175
Derivative assets 33(a) 400 188,583 400 188,583
Loans and advances to banks 25 533,464 556,072 229,016 290,941
Loans and advances to customers 26 7,211,496 6,954,545 3,756,442 3,920,533
Investment securities:
- At fair value through other comprehensive income 27 4,450,133 4,942,106 3,904,569 4,131,287
- At amortised cost 27 9,308,021 7,592,399 592,003 462,964
Other assets 28 1,623,303 1,186,262 1,148,293 977,818
Investment in subsidiaries 29 - - 184,290 184,290
Property, equipment and right-of-use assets 30 455,508 416,623 268,911 250,148
Intangible assets 31 74,716 66,864 17,488 13,641
Deferred tax assets 32 156,271 140,371 102,965 105,817",,,,
,"8,751,723
687,631
15,796
400
533,464
7,211,496
4,450,133
9,308,021
1,623,303
-
455,508
74,716
156,271",,"6,924,625
2,545
15,796
400
229,016
3,756,442
3,904,569
592,003
1,148,293
184,290
268,911
17,488
102,965",
TOTAL ASSETS,"33,268,462","30,323,355","17,147,343","17,291,956"
"LIABILITIES
Deposits from banks 34
Deposits from customers 35
Derivative liabilities 33(b)
Other liabilities 36
Current income tax payable 20
Borrowings 37
Deferred tax liability 32","3,410,895
24,187,878
10,024
696,372
30,009
712,639
4,222","2,756,472
21,894,689
33,849
680,313
138,983
1,394,796
5,614","1,362,749
12,337,960
10,024
714,378
12,940
708,970
-","1,643,031
11,834,675
33,849
790,766
79,506
1,223,973
-"
TOTAL LIABILITIES,"29,052,039","26,904,716","15,147,021","15,605,800"
"EQUITY
Share capital 39
Share premium 39
Retained earnings 39
Other reserves 39","20,520
329,564
1,608,084
2,145,406","17,100
98,715
1,425,037
1,775,713","20,520
329,564
792,525
857,713","17,100
98,715
787,808
782,533"
"EQUITY ATTRIBUTABLE TO OWNERS OF THE PARENT
Non-controlling interests 29","4,103,574
112,849","3,316,565
102,074","2,000,322
-","1,686,156
-"
TOTAL EQUITY,"4,216,423","3,418,639","2,000,322","1,686,156"
TOTAL LIABILITIES AND EQUITY,"33,268,462","30,323,355","17,147,343","17,291,956"
"The accompanying notes are an integral part of these interim consolidated and separate financial statements.
Theinterimconsolidatedandseparatefinancialstatementswereapproved bytheBoardofDirectorsandauthorizedforissueon14
August 2025 and signed on its behalf by :
Ugo A. Nwaghodoh Oliver Alawuba
ED Finance and Risk Management Group Managing Director/CEO
FRC/2012/ICAN/00000000272 FRC/2022/PRO/DIR/003/589226
Tony O. Elumelu, CFR
Chairman, Board of Directors
FRC/2013/PRO/DIR/003/00000002590",,,,
