0,1,2,3,4
,2023 Holdings,,2022 Holdings,
,Direct,Indirect,Direct,Indirect
Mr. Kayode O. Ajakaiye,"2,310,658",0,"2,310,658",0
Mr. Sulaiman A. Adedokun,0,"133,358,476",0,"133,358,476"
Mr. Adebayo A. Adeleke,"726,645","106,250,000","726,645","106,250,000"
Ms. Daniella F. Suleman,0,"19,542,743",0,"19,542,743"
