0,1,2,3,4
"Paints and
allied
products","Contract
revenue","Investment
property
rental
income",Unallocated,Total
"2,974,114
-
-
81,778
-
415,289","51,317
-
-
-
-
51,317","2,012
-
-
(5,091)
(3,079)","-
17,066
(10,855)
-
-
6,211","3,027,443
17,066
(10,855)
76,687
78,351
469,738"
