0,1,2,3,4,5,6,7,8
S/N,Name,17-Jan-23,14-Mar-23,20-Apr-23,17-Jul-23,12-Oct-23,16-Nov-23,No. (6)
1,Mr. Adekunle Olowokande (Chair),P,P,P,P,P,P,6
2,Mr. Raj Mangtani,P,P,P,A,P,P,5
3,Mrs. Aisha Umar,P,P,P,P,P,P,6
4,Mrs. Alaba Fagun,P,P,P,P,P,P,6
