0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,,,,,,,,,,
,Decrease,,,"(19,564,874)",,,"(16,631,652)",,,"(1,718,558)",,,"(1,292,721)",
,Increase,,,"21,976,576",,,"18,681,785",,,"2,983,987",,,"2,244,592",
,,,,,,,,,,,,,,
