0,1,2,3,4,5
Assumptions,,31 December 2023,,31 December 2022,
,,"Change
N million",% Change,"Change
N million",% Change
Volatility,"+10%
-10%","509
470","4.88%
-3.18%","2,053
1,998","1.57%
-1.14%"
Dividend yield,"+1%
-1%","475
497","-2.14%
2.21%","1,985
2,058","-1.76%
1.86%"
