0,1,2,3
Average rate during the year,,Year end spot rate,
31-Dec-23,31-Dec-22,31-Dec-23,31-Dec-22
"899.90 -
993.10 -
1,144.00 -",,"951.29 -
1052.49 -
1142.79 -",
