0,1,2,3,4,5
"M
e
e
tin
g
s",Board,"Board Audit, Governance, Nomination
and Remuneration Committee","Board Credit
Committee","Board Risk
Management
Committee","Finance,
Operations &
Technology
Committee"
1,25-Jan-24,23-Jan-24,22-Feb-24,02-Jan-24,03-Jul-24
2,30-Apr-24,29-Feb-24,20-Mar-24,13-Mar-24,23-Jul-24
3,21-Jun-24,05-Mar-24,17-Jul-24,19-Apr-24,25-Jul-24
4,15-Aug-24,04-Apr-24,11-Sep-24,02-Jul-24,04-Oct-24
5,05-Sep-24,16-Apr-24,06-Nov-24,04-Jul-24,11-Oct-24
6,17-Oct-24,18-Apr-24,,18-Sep-24,20-Nov-24
7,04-Dec-24,16-May-24,,03-Oct-24,26-Nov-24
8,05-Dec-24,27-Jun-24,,13-Nov-24,
9,,24-Jul-24,,15-Nov-24,
10,,13-Sep-24,,,
11,,08-Oct-24,,,
12,,10-Oct-24,,,
13,,26-Nov-24,,,
