0,1,2,3
S/N,Director,No of,Attendance
,,Meetings,
,Sir Demola Aladekomo,5,
2,Mrs. Mayowa Olaniyan,5,5
3,Mrs. Olamojiba Bakare,5,3
,,,
4.,Mr. Segun Oloketuyi,5,5
,Alhaji Yusufu Modibbo,5,
6,Mr. Tomiwa Aladekomo,5,4
,Dr. Mohammed Santuraki,5,
8,Sir Abiola Ayobola,5,5
,,,
9,Mr. Mohammed Bashir Yunusa,5,5
,,,
10,Mr. Dumebi Obodo,5,4
,,,
