0,1,2,3,4,5,6
Grant date,"Performance
condition",Vesting date,"Gross option
price","Gross option as
% of share price","Net option
price","Net option price
as % of share
price"
"13 December 2022
13 December 2023","CGO
ESG
ROE
TSR
CGO
ESG
ROE
TSR","13 December 2025
13 December 2025
13 December 2025
13 December 2025
13 December 2026
13 December 2026
13 December 2026
13 December 2026","194.48
194.48
194.48
0.1
188.84
188.84
188.84
12.39","97.24%
97.24%
97.24%
0.05%
94.42%
94.42%
94.42%
6.20%","185.23
185.23
185.23
0.1
170.87
170.87
170.87
11.21","92.62%
92.62%
92.62%
0.05%
85.43%
85.43%
85.43%
5.61%"
