0,1,2,3,4
"BATCH
NO.","YEAR OF
GRADUATION",SITE,"NO.
ADMITTED","NO. OF
GRADUATES"
1,2013,AGBARA,16,13
2,2015,,16,14
3,2017,,20,20
4,2019,,20,20
5,2021,,20,20
6,2022,,20,20
7A,2023,,20,20
7B,2024,,10,10
8,2025,,20,20
9,2025,,20,Still in session
Total,,,182,157
1,2024,FLOWERGATE,20,20
2,2025,,20,Still in session
Total,,,40,20
1,2019,ABAJI,12,12
2,2021,,20,20
3,2023,,20,20
4,2024,,20,20
5,2025,,20,Still in session
Total,,,92,72
GRAND TOTAL,,,314,249
