0,1,2,3,4,5,6,7
"Name of company/
individual","Name of
Director",Facility Type,Security,Status,Currency,Jun. 2025,Dec. 2024
Heirs Holdings,"Mr. Tony O.
Elumelu, CFR",Term Loan,Real Estate,Performing,NGN,"37,863","42,033"
