0,1,2,3,4
,Annual rate of early retirement,,Annual rate of early retirement,
Age group,31 December 2024,31 December 2023,31 December 2024,31 December 2023
"20 - 30
31 - 39
40 - 44
45 - 49
50 - 54
55 - 59
60+","2.5%
1.5%
1.0%
1.0%
0.0%","2.5%
1.5%
1.0%
1.0%
0.0%
-
-","1.0%
1.0%","-
-
-
-
1.0%
1.0%
-"
