0,1,2,3,4
"Name of
Committee","Date(s) of meeting of the
committee in the relevant
quarter","Whether requirement of Quorum met
(details)","Date(s) of meeting of
the committee in the
previous quarter","Maximum gap between
any two consecutive
meeting in number of days"
"Audit Committee
Business
Development,
Finance & General
Purpose
Committee","4TH SEPTEMBER, 2025",There was Quorum at the meeting.,"5th June, 2025",90 days
,"15th July, 2025",There was Quorum at the meeting.,"10th June, 2025",90 days
"Risk Management
& Governance
Committee","15th July, 2025",There was Quorum at the meeting.,"10th June, 2025",90 days
