0,1,2,3
"D e s c r ip t io n H e a d C o u n t H e a d C o u n t
T o t a l
M a le % o f T o t a l F e m a le % o f T o t a l
DGMDM ir e c t o r sl 7 5 0 % 7 5 0 % 1 4
e n e r a
1 6 7 0 % 7 3 0 % 2 3
a n a g e r s
e p u t y G e n e r a l
1 4 6 1 % 9 3 9 % 2 3
a n a g e r s
AM s s is t a n t G e n e r a l
5 2 7 1 % 2 1 2 9 % 7 3
a n a g e r s
T o t a l 8 9 6 7 % 4 4 3 3 % 1 3 3
Group Staff distribution by nationality and location during the year ended 31 December 2023",,,
Location,Nationality,Head Count,
Nigeria,Nigerian,"5,931",
,Other 19 African Countries,9,
,Indian,2,
"UBA Central Africa:
Cameroon, Congo DRC, Congo Brazzaville,
Gabon, Chad.",Nigerian,14,
,Other 19 African Countries,"1,142",
"UBA West Africa
Ghana, Sierra Leone, Liberia,Cote D Ivoire,
Senegal, Burkina Faso, Benin, Guinea and Mali",Nigerian,44,
,Other 19 African Countries,"1,896",
"UBA East & Southern Africa
Kenya, Tanzania, Zambia, Uganda and
Mozambique",Nigerian,19,
,Other 19 African Countries,830,
UBA USA,Nigerian,22,
,American,18,
,Ivorian,2,
,Chinese,1,
,Columbian,2,
,Congolese,1,
,Dutch,1,
,Ghanaian,2,
,Haitian,1,
,Hispanic,3,
,Indian,2,
,Indonesian,1,
,Jamaican,3,
,Kenyan,1,
,Pakistani,1,
,Sierra Leonean,1,
,Saint. Martin,1,
,Ukrainian,8,
UBA UK,Nigerian,"35
1",
,British,1,
,Croatian,1,
,French,2,
,Ghanian,2,
,Malaysian,2,
,Indian,1,
,South African,1,
UBA France,French,2,
UBA Dubai,British,1,
Total,,"10,007",
