0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
In thousands of Nigerian Naira,,,Asset under Management,,,,,,,,,Interest Held by the Group,,,,,
,Investment funds,,,Jun-25,,,Dec-24,,,,,,Jun-25,,,Dec-24,
,,,"104,001,526",,,"47,886,680",,,,,,,,,,,
,Guaranty Trust Investment Fund 724,,,"458,792",,,"161,273",,,,,,"171,239",,,"150,000",
,,,"12,519,945",,,"11,846,892",,,,,,,,,,,
,Guaranty Trust Balanced Fund,,,"3,960,182",,,"3,106,074",,,,,,-,,,,-
,Guaranty Trust Dollar Fund,,,"100,120,051",,,"77,300,768",,,,,,"218,707",,,"134,609",
,Guaranty Trust Equity Income Fund,,,"1,253,198",,,"618,453",,,,,,"81,820",,,"53,524",
,,,"222,313,695",,,"140,920,142",,,,,,,,,,,
