0,1,2,3,4,5,6,7
S/N,"Network licences
type","Date granted
/renewed","Term
(years)","Renewable
term","Licence fee
currency","Initiation/
renewal fee",Purpose/ characteristics
1,"Digital Mobile Licence
(DML) - 900MHz &
1800 MHz","9 February 2001/
1 September 2021",10,"Renewable after
the expiration of
31 August 2031",NGN,"N20.72 billion/
N71.61 billion","Operational license and
spectrum license,
authorises 2nd Generation
mobile services & mobile
voice/SMS, basic data
(GPRS)"
2,"3G Spectrum Licence
(Receive Frequency
1920 - 1930 MHz)
(Transmit Frequency
2110 - 2120MHz)","1 May 2007/
1 May 2022",15,"As may be
determined by
NCCn",NGN,"N19.04 billion/
N58.7 billion","Spectrum License for 3rd
Generation (3G) services.
Enables high- speed data
services (voice/video calls,
live data streaming, etc.)"
3,"Unified Access
Service Licence
(UASL)","1 September
2006/1 September
2021",10,"Renewable after
the expiration of
31 August2031",NGN,"N114.6 million/
N374.6 million","Operational license,
technology-neutral &
permits full bouquet of
services possible on
existing spectrum"
4,"International
Submarine Cable
Infrastructure and
Landing Station
(WACS)",1 January 2010,20,"Renewable after
the expiration of
31 December 2030",NGN,N33.2 million,"Authorises MTNN to set up
& maintain a landing
station for transmission of
international traffic.
Authorises carriage of both
MTNN/3rd party traffic."
5,"800MHz -
Intercellular
acquisition*",1 January 2021,10,"Renewable after
the expiration of
31 December 2030",NGN,N61.64 billion,"Spectrum for 4th
Generation (4G/LTE)
services, broadband
spectrum and enables
voice calls over IP-based
networks, video calling,
streaming and
downloading etc."
6,"700 MHz spectrum
licence",14 December 2020,10,13 December 2030,NGN,N40.35 billion,"For the provision of
telecommunication
services."
7,"Spectrums 800 MHz
(Visafone)*","1 January 2015/
1 January 2025",10,"Renewable after
the expiration of
31 December
2024.",NGN,N48.1 billion,"Spectrum for 4th
Generation (4G/LTE)
services, broadband
spectrum and enables
voice calls over IP-based
networks, video calling,
streaming and
downloading etc."
8,Spectrums 2.6GHz,1 January 2018,10,"Renewable after
the expiration of
31 December 2027",NGN,N18.9 billion,"Spectrum license for 4th
generation (4G/LTE)
services, broadband
spectrum and enables
voice calls over IP-based
networks, video calling,
streaming and
downloading etc."
