0,1,2,3
Training Programme,Training Objective,Participants,Date
"Effective Governance of Board
Committees Programme","This comprehensive program equips board members with a clear understanding of each
committee's objectives while preparing them to actively participate or lead in accordance with
the regulatory requirements of their respective jurisdictions maximum value of the new
development.","• Ms. Angela Aneke
• Mrs. Caroline Anyanwu
• Abdulqadir Bello
• Emmanuel Nnorom","June 24-26
2024"
"International Financial Reporting
Standard (IFRS) 9","TheprimaryobjectiveofacourseonInternationalFinancialReportingStandard(IFRS)9isto
provideparticipantswithacomprehensiveunderstandingofthestandardanditsimplications
for financial reporting and decision-making.","• Bawuah Abiola
• Ugochukwu Nwaghodoh
• Alex Alozie","June 11, 18
&19, 2024"
"Transform how you lead yourself
andothersatIMDBusinessSchool,
Lausanne, Switzerland Mobilizing
People","The primary objective of a course on International Financial Reporting Standard (IFRS) 9 is to
provide participants with a comprehensive understanding of the standard and its implications
for financial reporting and decision-making.","Bawuah Abiola
Ugochukwu Nwaghodoh
Alex Alozie","June11,18,19
2024"
"Cambridge Advanced Leadership
Programme - Cambridge Judge
Business School, Cambridge,
England","The Cambridge Advanced Leadership Programme at Cambridge Judge Business School
focuses on preparing senior leaders to drive strategic transformation within their organizations.
Key learning objectives include:
Strategic Visioning: Enhancing the ability to develop and communicate a clear, forward-looking
strategic vision, Innovative Problem-Solving, Global Leadership, and Change Management.
The program aims to empower executives with a holistic and strategic approach to leadership
that drives long-term organizational success.","Muyiwa Akinyemi
Abiola Bawuah","Nov. 3 - 22,
2024"
