0,1,2,3,4,5,6,7
"Name of company/
individual","Name of
Director",Facility Type,Security,Status,Currency,Dec. 2024,Dec. 2023
Heirs Holdings,"Mr. Tony O.
Elumelu, CFR",Term Loan,Real Estate,Performing,NGN,"42,033","43,383"
