0,1,2,3,4
"United Bank for Africa Plc
Consolidated and Separate Statements of Comprehensive Income
for the year ended 31 December 2024
In millions of Nigerian Naira,except per share amounts Notes Group Bank
December December December December
2024 2023 2024 2023
Interest income 10 2,370,037 1,075,347 1,298,865 577,380
Interest income on amortised cost and FVOCI securities 2,295,890 1,073,246 1,294,969 576,409
Interest income on FVTPL securities 74,147 2,101 3,896 971
Interest expense 11 (839,250) (367,807) (481,690) (250,792)",,,,
,"December
2024",,"December
2024",
,"2,370,037","1,075,347","1,298,865","577,380"
,"2,295,890
74,147","1,073,246
2,101","1,294,969
3,896","576,409
971"
,"(839,250)","(367,807)","(481,690)","(250,792)"
"Net interest income
Impairment charge for credit losses on Loans 12a
Net impairment charges on other financial assets 12b
Modification (loss)/gain on purchased or originated credit impaired 12c","1,530,787
(216,967)
(17,553)
(19,045)","707,540
(144,049)
(62,583)
-","817,175
(177,802)
(21,746)
1,888","326,588
(121,128)
(16,248)
-"
Net interest income after impairment on financial instruments,"1,277,222","500,908","619,515","189,212"
"Fees and commission income 13a
Fees and commission expense 13b","589,001
(233,998)","307,313
(118,254)","203,196
(116,465)","124,346
(68,017)"
Net fee and commission income,"355,003","189,059","86,731","56,329"
"Net trading and foreign exchange gain 14
Other operating income 15
Net monetary loss on hyperinflation 16
Employee benefit expenses 17
Depreciation and amortisation 18
Other operating expenses 19","181,762
46,080
(10,163)
(314,660)
(48,608)
(682,910)","659,257
33,469
(32,804)
(182,812)
(36,596)
(372,801)","78,185
255,540
-
(92,368)
(23,228)
(437,841)","596,933
161,933
-
(68,662)
(21,117)
(241,617)"
"Profit before income tax
Income tax (expense)/credit 20","803,726
(37,158)","757,680
(149,984)","486,534
78,161","673,011
(86,385)"
Profit for the year,"766,568","607,696","564,695","586,626"
"Other comprehensive income/(loss)
Items that will be reclassified to Profit or loss:
Exchange differences on translation of foreign operations
Fair value changes on investments in debt securities at fair value
through other comprehensive income (FVOCI):
Net change in fair value for the year
ECL on debt instruments classified as FVOCI
Tax relating to net change in fair value for the year & ECL on debt
instruments 20
Net amount transferred to profit or loss","590,050
(161,817)
(18,960)
18,078
(2,033)","435,862
(132,984)
9,600
12,338
(1,006)","-
(176,915)
(18,960)
19,588
(2,033)","-
(46,887)
8,472
3,842
(1,006)"
,"425,318","3 23,810","( 178,320)","(35,578)"
"Items that will not be reclassified to Profit or loss:
Fair value changes on equity investments designated at FVOCI
Tax relating to net change in fair value on equity investments
20
designated at FVOCI
Impact of adopting IAS 29 - Hyperinflationary Accounting 44","241,818
(24,182)
125,981","162,804
(16,280)
77,941","235,506
(23,551)
-","162,804
(16,280)
-"
,"343,617","224,465","211,955","146,524"
"Other comprehensive income for the year, net of tax","768,935","548,274","33,636","110,946"
"Total comprehensive income for the year, net of tax","1,535,503","1,155,971","598,330","697,571"
"Profit for the year attributable to:
Owners of Parent
Non-controlling interests","743,121
23,447","598,285
9,411","564,695
-","586,626
-"
Profit for the year,"766,568","607,696","564,695","586,626"
"Total comprehensive income attributable to:
Owners of Parent
Non-controlling interests","1,501,462
34,041","1,119,510
36,461","598,330
-","697,571
-"
Total comprehensive income for the year,"1,535,503","1,155,971","598,330","697,571"
Earnings per share attributable to owners of the parent,,,,
Basic and diluted earnings per share (Naira) 21,21.73,17.49,16.51,17.15
The accompanying notes are an integral part of these consolidated and separate financial statements.,,,,
