0,1,2
"Group
Dec. 2023",,"Bank
Dec. 2023"
"5,470,264
(144,998)
(17,226)
(79,192)","3,219,715
(64,409)
(11,757)
(6,670)","3,450,155
(87,352)
(14,317)
(28,113)"
"(241,415)","(82,836)","(129,782)"
"5,228,849","3,136,879","3,320,373"
