0,1,2,3,4,5,6,7
Company,,"Share
capital N'000","Share
Premium
N'000","Revaluation
Reserve N'000","Retained
Earnings N'000","Fairvalue
Reserve N'000",Total N'000
"At 1 January 2024 2,348,030 35,008 (84,787) 1,478,197 3,776,448
Changes in equity for the
-
year: -
Profit for the year ( 249,074) (249,074)
Balance as at 30 June , 2024 2,348,030 35,008 (333,861) 1,478,197 3,527,374",,,,,,,
