0,1,2,3
"Stage 1 - 12-
month ECL",,"Stage 3 -
Lifetime ECL",
"55,465
86,590
-
(32,154)
13,173","11,252
14,239
-
(7,153)
(2,623)","(6,137)
33,301
(33,845)
39,307
29,509",
"123,074","15,715","62,135","200,924"
,,,
