0,1,2,3,4
Nigeria,Rest of Africa,"Rest of the
World",Eliminations,Total
,,,,
"1,354,942","767,482","161,197","(208,235)","2,075,386
-"
"(245,555)
(68,017)
(139,648)
(309,306)
-","(145,251)
(50,239)
(79,993)
(248,227)
-","(22,060)
-
(3,450)
(33,811)
-","45,059
2
-
-
(32,804)","(367,807)
(118,254)
(207,201)
(591,640)
(32,804)"
"592,415","243,772","101,876","(195,979)","757,680"
"(88,815)
503,600","(58,469)
185,304","(2,701)
99,176","-
(195,979)","(149,984)
607,696"
"3,046,392","2,141,077","6 38,704","(276,592)","5 ,549,581"
"9,317,913","7,339,157","1,456,262","(757,612)","17,355,721"
"11,450,259","8,640,856","1,615,151","(1,053,069)","20,653,197"
"10,536,759","7,627,670","1,479,386","(1,020,813)","18,623,002"
,,,,
