0,1,2,3,4
"Name of
Committee","Date(s) of meeting of the
committee in the relevant
quarter","Whether requirement of Quorum met
(details)","Date(s) of meeting of
the committee in the
previous quarter","Maximum gap between
any two consecutive
meeting in number of days"
Audit Committee,"5th June, 2025",There was Quorum at the meeting.,"6th March, 2025",90 days
"Business
Development,
Finance & General
Purpose
Committee","10TH June, 2025",There was Quorum at the meeting.,"11th March, 2025",90 days
"Risk Management
and Governance
Committee","10TH June, 2025",There was Quorum at the meeting.,11th March 2025,90 days
