0,1,2,3,4
Nigeria,Rest of Africa,"Rest of the
World",Eliminations,Total
,,,,
"1,658,951","1,517,244","258,504","(247,819)","3,186,880
-"
"(458,238)
(116,467)
(202,465)
(517,365)
-","(328,538)
(117,531)
(55,985)
(467,914)
(10,163)","(52,475)
-
5,216
(61,228)
-","-
-
-
-
-","(839,250)
(233,998)
(253,565)
(1,046,178)
(10,163)"
"364,417","537,113","150,017","(247,819)","803,726"
"51,469
415,886","(110,174)
426,939","21,548
171,565","-
(247,819)","(37,158)
766,568"
"3,799,966","3,350,213","6 82,898","(322,460)","7,510,617"
"11,293,595","12,335,408","2,778,520","(1,756,362)","24,651,161"
"14,949,213","14,757,260","3,088,021","(2,471,139)","30,323,355"
"13,388,624","12,944,372","2,826,021","(2,254,301)","26,904,716"
,,,,
