0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
S/N,,DIRECTORS,,,,BOARD,,"BOARD RISK
MANAGEMENT
AND AUDIT
COMMITTEE",,"BOARD
GOVERNANCE,
NOMINATIONS AND
REMUNERATION
COMMITTEE",,,,,BOARD I.T. STRATEGY,BOARD I.T. STRATEGY
,,,DATE OF MEETINGS,,31-Jan-2023,,,,30-Jan-2023,,,,30-Jan-2023,,"27-Apr-2023
23-Oct-2023",
,,,,,28-Apr-2023,,,,27-Apr-2023,,,,23-Oct-2023,,,
,,,,,29-Jul-2023,,,,28-Jul-2023,,,,,,,
,,,,,24-Oct-2023,,,,23-Oct-2023,,,,,,,
