0,1,2,3,4,5
,GROUP,,,,
,2025,2024,,2025,2024
,N'M,N'M,,N'M,N'M
Revenue,-,0.90,,-,-
Other Income,,,,,(0.92)
Total Comprehensive Income,(13),(12),,(10),(10)
Total Non Current Assets,"2 ,402","2 ,402",,(306),(306)
Total Non Current Liabilities,4 32,4 32,,449,4 49
Total Equity,"( 3,085)","( 2,636)",,720,7 20
Earnings/(Loss) Per Share (NGN),0.004,0.004,,(0.014),(0.014)
